timestamp,src_port,dst_port,length,is_malicious
0.0,57373,5223,82,1
5.602836608886719e-05,5223,57373,78,1
0.00010013580322265625,57373,5223,52,1
5.007979154586792,57373,5223,92,1
5.008011102676392,5223,57373,76,1
5.00803017616272,57373,5223,52,1
9.01553201675415,57664,443,64,0
9.015976190567017,443,57664,60,0
9.015995979309082,57664,443,52,0
9.016018152236938,57664,443,569,0
9.016031980514526,443,57664,52,0
9.016365051269531,443,57664,1290,0
9.016407012939453,443,57664,1290,0
9.016520023345947,443,57664,1290,0
9.016541004180908,443,57664,434,0
9.016571044921875,443,57664,1290,0
9.016770124435425,443,57664,734,0
9.016971111297607,57664,443,52,0
9.01698613166809,57664,443,52,0
9.018318176269531,57664,443,116,0
9.01845407485962,443,57664,52,0
9.018500089645386,443,57664,339,0
9.018792152404785,443,57664,339,0
9.018830060958862,443,57664,114,0
9.018939018249512,57664,443,52,0
9.019011974334717,57664,443,1161,0
9.019334077835083,443,57664,52,0
9.019356966018677,443,57664,83,0
9.019670963287354,57664,443,821,0
9.019776105880737,57664,443,52,0
9.020095109939575,443,57664,52,0
9.020604133605957,57665,443,64,0
9.020727157592773,57666,443,64,0
9.020743131637573,443,57665,60,0
9.020758152008057,57665,443,52,0
9.021021127700806,57665,443,569,0
9.021043062210083,443,57665,52,0
9.021273136138916,443,57665,1290,0
9.021306991577148,443,57665,1290,0
9.021496057510376,443,57665,1097,0
9.021514177322388,57665,443,52,0
9.02162504196167,57665,443,52,0
9.021645069122314,443,57666,60,0
9.021660089492798,57666,443,52,0
9.022021055221558,57666,443,569,0
9.022289037704468,443,57666,52,0
9.022364139556885,443,57666,1290,0
9.022443056106567,443,57666,1290,0
9.022576093673706,443,57666,1290,0
9.022732019424438,443,57666,1290,0
9.022788047790527,443,57666,594,0
9.022828102111816,57666,443,52,0
9.022966146469116,57666,443,52,0
9.023252010345459,57665,443,132,0
9.023401021957397,443,57665,52,0
9.023452997207642,443,57665,339,0
9.023496150970459,443,57665,339,0
9.023583173751831,57665,443,450,0
9.02361798286438,57665,443,52,0
9.023766040802002,443,57665,1290,0
9.02382206916809,443,57665,775,0
9.023863077163696,57665,443,52,0
9.024531126022339,57666,443,52,0
9.024578094482422,443,57664,786,0
9.02459716796875,57664,443,52,0
9.024887084960938,443,57666,52,0
9.024904012680054,443,57666,76,0
9.025918006896973,443,57666,52,0
9.026386976242065,57666,443,40,0
9.026605129241943,57666,443,40,0
12.038122177124023,57667,443,64,0
12.038153171539307,443,57667,60,0
12.038364171981812,57667,443,52,0
12.038426160812378,57667,443,569,0
12.038459062576294,443,57667,52,0
12.038671970367432,443,57667,1290,0
12.038748025894165,443,57667,1290,0
12.038830041885376,443,57667,1290,0
12.038872003555298,443,57667,164,0
