relative_timestamp,src_ip,dst_ip,src_port,dst_port,length,is_malicious
0.0,17.57.144.38,10.193.107.99,5223,57373,339,1
4.076957702636719e-05,17.57.144.38,10.193.107.99,5223,57373,78,1
7.390975952148438e-05,17.57.144.38,10.193.107.99,5223,57373,78,1
0.0001049041748046875,10.193.107.99,17.57.144.38,57373,5223,52,1
0.00013780593872070312,10.193.107.99,17.57.144.38,57373,5223,64,1
0.0001709461212158203,10.193.107.99,17.57.144.38,57373,5223,84,1
0.0002009868621826172,17.57.144.38,10.193.107.99,5223,57373,52,1
0.00023794174194335938,17.57.144.38,10.193.107.99,5223,57373,184,1
0.0002689361572265625,10.193.107.99,17.57.144.38,57373,5223,52,1
0.0003018379211425781,10.193.107.99,17.57.144.38,57373,5223,84,1
1.0002458095550537,17.57.144.38,10.193.107.99,5223,57373,52,1
1.0005879402160645,10.193.107.99,17.248.201.69,57901,443,64,1
1.0007638931274414,10.193.107.99,17.57.144.38,57373,5223,1290,1
1.0008349418640137,10.193.107.99,17.57.144.38,57373,5223,862,1
1.0008819103240967,10.193.107.99,17.57.144.38,57373,5223,395,1
1.0009739398956299,17.248.201.69,10.193.107.99,443,57901,60,1
1.001147985458374,10.193.107.99,17.248.201.69,57901,443,52,1
1.0012779235839844,10.193.107.99,17.248.201.69,57901,443,569,1
1.0013267993927002,17.248.201.69,10.193.107.99,443,57901,52,1
1.001405954360962,17.248.201.69,10.193.107.99,443,57901,1290,1
1.0014429092407227,10.193.107.99,17.248.201.69,57901,443,52,1
1.0015227794647217,17.248.201.69,10.193.107.99,443,57901,1290,1
1.0016019344329834,17.248.201.69,10.193.107.99,443,57901,1290,1
1.0016977787017822,17.248.201.69,10.193.107.99,443,57901,434,1
1.0019099712371826,17.248.201.69,10.193.107.99,443,57901,1290,1
1.0020167827606201,17.248.201.69,10.193.107.99,443,57901,1065,1
1.002105951309204,10.193.107.99,17.248.201.69,57901,443,52,1
1.0021398067474365,10.193.107.99,17.248.201.69,57901,443,52,1
1.002253770828247,17.57.144.38,10.193.107.99,5223,57373,52,1
1.0023219585418701,17.57.144.38,10.193.107.99,5223,57373,52,1
1.0023608207702637,17.57.144.38,10.193.107.99,5223,57373,52,1
1.0023977756500244,17.57.144.38,10.193.107.99,5223,57373,88,1
1.0024287700653076,10.193.107.99,17.57.144.38,57373,5223,52,1
1.0024669170379639,17.57.144.38,10.193.107.99,5223,57373,131,1
1.0024988651275635,10.193.107.99,17.57.144.38,57373,5223,52,1
1.0025358200073242,10.193.107.99,17.248.201.69,57901,443,145,1
1.0025689601898193,10.193.107.99,17.57.144.38,57373,5223,84,1
1.002600908279419,17.248.201.69,10.193.107.99,443,57901,52,1
1.002633810043335,17.248.201.69,10.193.107.99,443,57901,103,1
1.00266695022583,10.193.107.99,17.248.201.69,57901,443,52,1
1.0027339458465576,10.193.107.99,17.248.201.69,57901,443,1158,1
1.0027987957000732,10.193.107.99,17.248.201.69,57901,443,1140,1
1.002830982208252,17.248.201.69,10.193.107.99,443,57901,52,1
1.0028619766235352,17.248.201.69,10.193.107.99,443,57901,52,1
1.002936840057373,17.57.144.38,10.193.107.99,5223,57373,131,1
1.0029759407043457,10.193.107.99,17.57.144.38,57373,5223,52,1
