src_ip,dst_ip,src_port,dst_port,length,inter_arrival_time,rolling_avg_length,seq_num,is_malicious
96.17.60.35,10.193.107.99,443,57513,1290,0.00010395050048828125,918.6,34919,0
96.17.60.35,10.193.107.99,443,57513,1290,0.00014710426330566406,1042.4,36157,0
96.17.60.35,10.193.107.99,443,57513,1290,7.891654968261719e-05,1042.4,37395,0
10.193.107.99,96.17.60.35,57513,443,52,3.600120544433594e-05,918.6,2366,0
10.193.107.99,96.17.60.35,57513,443,52,9.417533874511719e-05,794.8,2366,0
96.17.60.35,10.193.107.99,443,57513,1290,8.392333984375e-05,918.6,38633,0
96.17.60.35,10.193.107.99,443,57513,1290,0.00015997886657714844,1042.4,39871,0
96.17.60.35,10.193.107.99,443,57513,1290,8.511543273925781e-05,1042.4,41109,0
10.193.107.99,96.17.60.35,57513,443,52,3.3855438232421875e-05,918.6,2366,0
10.193.107.99,96.17.60.35,57513,443,52,3.314018249511719e-05,794.8,2366,0
96.17.60.35,10.193.107.99,443,57513,1290,0.00030684471130371094,794.8,42347,0
96.17.60.35,10.193.107.99,443,57513,1097,6.508827209472656e-05,775.5,43585,0
10.193.107.99,96.17.60.35,57513,443,52,3.409385681152344e-05,651.7,2366,0
10.193.107.99,104.88.197.211,57514,443,64,0.0005519390106201172,652.9,0,0
104.88.197.211,10.193.107.99,443,57514,60,9.989738464355469e-05,653.7,0,0
10.193.107.99,104.88.197.211,57514,443,52,3.814697265625e-05,529.9,1,0
10.193.107.99,104.88.197.211,57514,443,569,5.793571472167969e-05,457.8,1,0
104.88.197.211,10.193.107.99,443,57514,52,3.2901763916015625e-05,334.0,1,0
104.88.197.211,10.193.107.99,443,57514,1290,8.702278137207031e-05,457.8,1,0
104.88.197.211,10.193.107.99,443,57514,1290,0.00016498565673828125,581.6,1239,0
104.88.197.211,10.193.107.99,443,57514,1290,0.00011610984802246094,581.6,2477,0
104.88.197.211,10.193.107.99,443,57514,434,4.696846008300781e-05,515.3,3715,0
10.193.107.99,104.88.197.211,57514,443,52,3.3855438232421875e-05,515.3,518,0
10.193.107.99,104.88.197.211,57514,443,52,3.218650817871094e-05,514.1,518,0
104.88.197.211,10.193.107.99,443,57514,1290,0.00021600723266601562,637.1,4097,0
104.88.197.211,10.193.107.99,443,57514,158,3.981590270996094e-05,647.7,5335,0
10.193.107.99,104.88.197.211,57514,443,52,3.504753112792969e-05,596.0,518,0
10.193.107.99,104.88.197.211,57514,443,132,3.409385681152344e-05,604.0,518,0
10.193.107.99,104.88.197.211,57514,443,1290,0.0002129077911376953,604.0,598,0
10.193.107.99,104.88.197.211,57514,443,344,5.0067901611328125e-05,509.4,1836,0
104.88.197.211,10.193.107.99,443,57514,339,4.291534423828125e-05,414.3,5441,0
104.88.197.211,10.193.107.99,443,57514,339,4.9114227294921875e-05,404.8,5728,0
10.193.107.99,104.88.197.211,57514,443,52,3.3855438232421875e-05,404.8,2128,0
104.88.197.211,10.193.107.99,443,57514,52,0.00011515617370605469,404.8,6015,0
104.88.197.211,10.193.107.99,443,57514,1290,8.106231689453125e-05,404.8,6015,0
104.88.197.211,10.193.107.99,443,57514,560,5.078315734863281e-05,445.0,7253,0
10.193.107.99,104.88.197.211,57514,443,52,3.314018249511719e-05,445.0,2128,0
10.193.107.99,17.188.23.25,57515,443,64,0.00023698806762695312,438.2,0,0
17.188.23.25,10.193.107.99,443,57515,60,3.409385681152344e-05,315.2,0,0
10.193.107.99,17.188.23.25,57515,443,52,0.00011587142944335938,286.0,1,0
10.193.107.99,17.188.23.25,57515,443,569,0.00012803077697753906,309.0,1,0
17.188.23.25,10.193.107.99,443,57515,52,1.0033068656921387,280.3,1,0
17.188.23.25,10.193.107.99,443,57515,1290,9.918212890625e-05,404.1,1,0
