src_ip,dst_ip,src_port,dst_port,length,inter_arrival_time,rolling_avg_length,seq_num,header_len,is_malicious
10.193.107.99,17.57.144.38,57373,5223,397,9.584426879882812e-05,329.6,2081,52,0
17.57.144.38,10.193.107.99,5223,57373,52,0.0004360675811767578,300.9,314,52,0
17.57.144.38,10.193.107.99,5223,57373,52,0.000102996826171875,298.3,314,52,0
17.57.144.38,10.193.107.99,5223,57373,88,6.198883056640625e-05,299.3,314,52,0
10.193.107.99,17.57.144.38,57373,5223,52,3.910064697265625e-05,299.3,2426,52,0
17.57.144.38,10.193.107.99,5223,57373,131,4.100799560546875e-05,306.0,350,52,0
17.57.144.38,10.193.107.99,5223,57373,131,3.600120544433594e-05,310.7,429,52,0
10.193.107.99,17.57.144.38,57373,5223,52,3.1948089599609375e-05,310.7,2426,52,0
10.193.107.99,17.57.144.38,57373,5223,52,7.510185241699219e-05,186.9,2426,52,0
10.193.107.99,17.57.144.38,57373,5223,84,3.981590270996094e-05,109.1,2426,52,0
10.193.107.99,17.57.144.38,57373,5223,84,0.00013899803161621094,77.8,2458,52,0
17.57.144.38,10.193.107.99,5223,57373,52,3.719329833984375e-05,77.8,508,52,0
17.57.144.38,10.193.107.99,5223,57373,131,0.00029778480529785156,85.7,508,52,0
10.193.107.99,17.57.144.38,57373,5223,52,3.504753112792969e-05,82.1,2490,52,0
10.193.107.99,17.57.144.38,57373,5223,84,0.0001571178436279297,85.3,2490,52,0
17.57.144.38,10.193.107.99,5223,57373,161,4.982948303222656e-05,88.3,587,52,0
10.193.107.99,17.57.144.38,57373,5223,52,0.00032520294189453125,80.4,2522,52,0
17.57.144.38,10.193.107.99,5223,57373,131,4.792213439941406e-05,88.3,696,52,0
10.193.107.99,17.57.144.38,57373,5223,52,0.00015592575073242188,88.3,2522,52,0
10.193.107.99,17.57.144.38,57373,5223,84,4.315376281738281e-05,88.3,2522,52,0
10.193.107.99,17.57.144.38,57373,5223,84,3.2901763916015625e-05,88.3,2554,52,0
17.57.144.38,10.193.107.99,5223,57373,52,3.1948089599609375e-05,88.3,775,52,0
17.57.144.38,10.193.107.99,5223,57373,159,0.0002560615539550781,91.1,775,52,0
10.193.107.99,17.57.144.38,57373,5223,52,0.00014901161193847656,91.1,2586,52,0
10.193.107.99,17.57.144.38,57373,5223,84,4.1961669921875e-05,91.1,2586,52,0
17.57.144.38,10.193.107.99,5223,57373,52,3.409385681152344e-05,80.2,882,52,0
10.193.107.99,17.248.201.73,57837,443,64,0.0005109310150146484,81.4,0,64,0
17.248.201.73,10.193.107.99,443,57837,60,3.695487976074219e-05,74.3,0,60,0
10.193.107.99,17.248.201.73,57837,443,52,3.1948089599609375e-05,74.3,1,52,0
10.193.107.99,17.248.201.73,57837,443,569,4.9114227294921875e-05,122.8,1,52,0
10.193.107.99,17.248.201.73,57838,443,64,0.0002338886260986328,120.8,0,64,0
17.248.201.73,10.193.107.99,443,57837,52,3.504753112792969e-05,120.8,1,52,0
17.248.201.73,10.193.107.99,443,57837,1290,0.0002779960632324219,233.9,1,52,0
17.248.201.73,10.193.107.99,443,57837,1290,7.104873657226562e-05,357.7,1239,52,0
17.248.201.73,10.193.107.99,443,57837,1290,7.796287536621094e-05,478.3,2477,52,0
17.248.201.73,10.193.107.99,443,57837,434,0.00013899803161621094,516.5,3715,52,0
17.248.201.73,10.193.107.99,443,57837,1290,7.104873657226562e-05,639.1,4097,52,0
17.248.201.73,10.193.107.99,443,57837,734,6.198883056640625e-05,706.5,5335,52,0
17.248.201.73,10.193.107.99,443,57838,60,3.409385681152344e-05,707.3,0,60,0
10.193.107.99,17.248.201.73,57837,443,52,3.1948089599609375e-05,655.6,518,52,0
10.193.107.99,17.248.201.73,57837,443,52,3.0040740966796875e-05,654.4,518,52,0
10.193.107.99,17.248.201.73,57837,443,52,3.0040740966796875e-05,654.4,518,52,0
10.193.107.99,17.248.201.73,57838,443,52,0.000209808349609375,530.6,1,52,0
10.193.107.99,17.248.201.73,57838,443,569,0.00025200843811035156,458.5,1,52,0
17.248.201.73,10.193.107.99,443,57838,52,3.910064697265625e-05,334.7,1,52,0
17.248.201.73,10.193.107.99,443,57838,1290,6.985664367675781e-05,420.3,1,52,0
17.248.201.73,10.193.107.99,443,57838,1290,7.700920104980469e-05,420.3,1239,52,0
17.248.201.73,10.193.107.99,443,57838,1290,0.00016617774963378906,475.9,2477,52,0
17.248.201.73,10.193.107.99,443,57838,434,5.4836273193359375e-05,513.3,3715,52,0
17.248.201.73,10.193.107.99,443,57838,1290,0.0001971721649169922,637.1,4097,52,0
17.248.201.73,10.193.107.99,443,57838,733,6.890296936035156e-05,705.2,5335,52,0
10.193.107.99,17.248.201.73,57838,443,52,3.600120544433594e-05,705.2,518,52,0
10.193.107.99,17.248.201.73,57838,443,52,3.409385681152344e-05,705.2,518,52,0
10.193.107.99,17.248.201.73,57837,443,116,0.0005698204040527344,659.9,518,52,0
17.248.201.73,10.193.107.99,443,57837,323,5.1021575927734375e-05,687.0,6017,52,0
17.248.201.73,10.193.107.99,443,57837,323,4.315376281738281e-05,590.3,6288,52,0
17.248.201.73,10.193.107.99,443,57837,114,3.4809112548828125e-05,472.7,6559,52,0
10.193.107.99,17.248.201.73,57837,443,836,6.008148193359375e-05,427.3,582,52,0
10.193.107.99,17.248.201.73,57837,443,52,3.910064697265625e-05,389.1,1366,52,0
17.248.201.73,10.193.107.99,443,57837,83,3.3855438232421875e-05,268.4,6621,52,0
10.193.107.99,17.248.201.73,57837,443,403,5.1021575927734375e-05,235.4,1366,52,0
10.193.107.99,17.248.201.73,57838,443,116,3.695487976074219e-05,241.8,518,52,0
17.248.201.73,10.193.107.99,443,57838,339,0.00012803077697753906,270.5,6016,52,0
17.248.201.73,10.193.107.99,443,57838,339,0.00014400482177734375,292.8,6303,52,0
17.248.201.73,10.193.107.99,443,57838,114,4.696846008300781e-05,271.9,6590,52,0
10.193.107.99,17.248.201.73,57838,443,838,7.009506225585938e-05,323.4,582,52,0
10.193.107.99,17.248.201.73,57838,443,52,8.702278137207031e-05,317.2,1368,52,0
17.248.201.73,10.193.107.99,443,57838,83,4.100799560546875e-05,241.9,6652,52,0
10.193.107.99,17.248.201.73,57838,443,953,0.00018787384033203125,332.0,1368,52,0
17.248.201.73,10.193.107.99,443,57837,527,6.508827209472656e-05,376.4,6652,52,0
10.193.107.99,17.248.201.73,57837,443,52,3.600120544433594e-05,341.3,1717,52,0
10.193.107.99,17.248.201.73,57837,443,91,7.891654968261719e-05,338.8,1717,52,0
